#,시군구명,소재지,면적,용도지역1,이용상황,주위환경,지세명,공시지가,X,Y
13269,노원구, 상계동 1300,6760.6,제3종일반주거지역,아파트,아파트지대,평지,2870000,127.071181,37.655719
13283,노원구, 상계동 1지구BL 3-1,188.5,제2종일반주거지역,다세대,기존 주택지대,평지,2390000,127.07729,37.682275
13284,노원구, 상계동 1지구BL 4-4,153,제1종일반주거지역,다세대,기존 주택지대,완경사지,2030000,127.07729,37.682275
13285,노원구, 상계동 1지구BL 4-22,343.8,제1종일반주거지역,단독주택,기존 주택지대,급경사지,1630000,127.07729,37.682275
13286,노원구, 상계동 1지구BL 7-9,177.5,제1종일반주거지역,단독주택,기존 주택지대,급경사지,1800000,127.07729,37.682275
13287,노원구, 상계동 1지구BL 8-8,506.7,제1종일반주거지역,연립주택,기존 주택지대,완경사지,1890000,127.07729,37.682275
13288,노원구, 상계동 1지구BL 501-15,117,제1종일반주거지역,다세대,기존 주택지대,평지,2190000,127.07729,37.682275
13289,노원구, 상계동 2지구BL 1-4,141.2,제1종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1820000,127.076804,37.682109
13290,노원구, 상계동 2지구BL 4-5,243.3,제1종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1810000,127.076804,37.682109
13291,노원구, 상계동 2지구BL 4-8,159.9,제2종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1700000,127.076804,37.682109
13292,노원구, 상계동 2지구BL 5-11,521.4,제2종일반주거지역,주거기타,주택재개발 예정지대,급경사지,2090000,127.076804,37.682109
13293,노원구, 상계동 2지구BL 7-16,116.9,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1870000,127.076804,37.682109
13294,노원구, 상계동 2지구BL 11-10,213.2,제2종일반주거지역,단독주택,주택재개발 예정지대,평지,2410000,127.076804,37.682109
13295,노원구, 상계동 2지구BL 12-20,205.1,제2종일반주거지역,주상용,주택재개발 예정지대,평지,3440000,127.076804,37.682109
13296,노원구, 상계동 2지구BL 14-5,329,제2종일반주거지역,상업기타,후면 상가지대,평지,4830000,127.076804,37.682109
13297,노원구, 상계동 2지구BL 15-6,283.4,제2종일반주거지역,상업용,역주변 상가지대,평지,5870000,127.076804,37.682109
13298,노원구, 상계동 2지구BL 16-9,138,제2종일반주거지역,단독주택,주택재개발 예정지대,급경사지,2080000,127.076804,37.682109
13299,노원구, 상계동 2지구BL 22-7,154,제2종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1790000,127.076804,37.682109
13300,노원구, 상계동 2지구BL 22-52,107,제2종일반주거지역,주상용,역주변 상가지대,평지,4130000,127.076804,37.682109
13301,노원구, 상계동 2지구BL 23-2,193.6,제1종일반주거지역,주거기타,주택재개발 예정지대,급경사지,1820000,127.076804,37.682109
13302,노원구, 상계동 2지구BL 23-7,100.1,제2종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1840000,127.076804,37.682109
13303,노원구, 상계동 6지구BL 1-11,122.4,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1740000,127.085062,37.675289
13304,노원구, 상계동 6지구BL 2-15,156,제2종일반주거지역,다세대,주택재개발 예정지대,완경사지,1780000,127.085062,37.675289
13305,노원구, 상계동 6지구BL 4-11,165,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2780000,127.085062,37.675289
13306,노원구, 상계동 6지구BL 5-21,215.1,제2종일반주거지역,다세대,주택재개발 예정지대,완경사지,1800000,127.085062,37.675289
13307,노원구, 상계동 6지구BL 5-23,189.9,제2종일반주거지역,다세대,주택재개발 예정지대,평지,2410000,127.085062,37.675289
13308,노원구, 상계동 6지구BL 7-30,184.7,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1760000,127.085062,37.675289
13309,노원구, 상계동 6지구BL 7-40,189.8,제1종일반주거지역,다세대,주택재개발 예정지대,완경사지,1740000,127.085062,37.675289
13310,노원구, 상계동 6지구BL 8-11,104.4,제2종일반주거지역,단독주택,기존 주택지대,완경사지,1720000,127.085062,37.675289
13311,노원구, 상계동 6지구BL 8-35,140.4,제2종일반주거지역,단독주택,기존 주택지대,완경사지,1730000,127.085062,37.675289
13312,노원구, 상계동 6지구BL 9-24,102.9,제2종일반주거지역,단독주택,기존 주택지대,완경사지,1710000,127.085062,37.675289
13313,노원구, 상계동 6지구BL 12-15,137.9,제2종일반주거지역,단독주택,기존 주택지대,완경사지,2150000,127.085062,37.675289
13314,노원구, 상계동 6지구BL 14-5,264.7,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,3110000,127.085062,37.675289
13315,노원구, 상계동 6지구BL 21-6,165,제2종일반주거지역,주상용,노선 상가지대,평지,4140000,127.085062,37.675289
13316,노원구, 상계동 6지구BL 23-4,205.3,제1종일반주거지역,다세대,주택 및 상가혼용지대,평지,2310000,127.085062,37.675289
